timestamp_ms,open,high,low,close,volume,datetime_utc,instrument,rsi_14,direction,profit
1752580800000,117113.98,117466.52,116417.0,117204.18,1464.86775,2025-07-15 12:00:00+00:00,XBTUSD,34.04502999554191,long,1
1752584400000,117204.18,118490.71,117157.25,118088.13,2210.06348,2025-07-15 13:00:00+00:00,XBTUSD,46.462780103134484,long,0
1752588000000,118088.13,118458.31,115736.92,116008.19,2687.57274,2025-07-15 14:00:00+00:00,XBTUSD,31.45555185451846,long,1
1752591600000,116008.2,116750.0,115800.0,116391.43,2299.77308,2025-07-15 15:00:00+00:00,XBTUSD,35.58406184310168,long,1
1752595200000,116391.43,117800.6,116362.97,117188.01,1624.68167,2025-07-15 16:00:00+00:00,XBTUSD,43.237022393525436,long,1
1752598800000,117188.0,117538.46,117140.0,117372.99,995.72856,2025-07-15 17:00:00+00:00,XBTUSD,44.87484192706984,long,0
1752602400000,117373.0,117380.0,116019.05,116719.55,1721.15939,2025-07-15 18:00:00+00:00,XBTUSD,40.43632224043177,long,0
1752606000000,116719.55,117204.5,116282.38,116416.07,1053.82399,2025-07-15 19:00:00+00:00,XBTUSD,38.530221847037964,long,1
1752609600000,116416.07,116725.02,116192.27,116419.02,604.23115,2025-07-15 20:00:00+00:00,XBTUSD,38.56053967877893,long,1
1752613200000,116419.01,117600.0,116350.0,117553.92,613.20681,2025-07-15 21:00:00+00:00,XBTUSD,48.98502125410879,long,1
1752616800000,117553.91,117868.52,117263.66,117827.74,634.19704,2025-07-15 22:00:00+00:00,XBTUSD,51.139096266031885,short,1
1752620400000,117827.74,117972.86,117500.0,117758.09,394.60478,2025-07-15 23:00:00+00:00,XBTUSD,50.55435688894901,short,0
1752624000000,117758.08,118178.0,117425.27,118112.89,622.87077,2025-07-16 00:00:00+00:00,XBTUSD,53.472876836555535,short,1
1752627600000,118112.9,118195.0,117582.12,117724.29,470.76557,2025-07-16 01:00:00+00:00,XBTUSD,49.99237195281596,long,0
1752631200000,117724.29,117752.87,117017.29,117317.27,578.37446,2025-07-16 02:00:00+00:00,XBTUSD,46.57304251542026,long,1
1752634800000,117317.27,117519.49,117211.25,117482.67,388.69782,2025-07-16 03:00:00+00:00,XBTUSD,48.125763278513716,long,1
1752638400000,117482.67,117700.7,117275.63,117600.92,335.01607,2025-07-16 04:00:00+00:00,XBTUSD,49.2610989968369,long,1
1752642000000,117600.92,118000.0,117600.92,117869.82,479.8066,2025-07-16 05:00:00+00:00,XBTUSD,51.84224826947021,short,0
1752645600000,117869.82,118285.15,117760.0,118276.3,372.39644,2025-07-16 06:00:00+00:00,XBTUSD,55.52538095664757,short,1
1752649200000,118276.3,118300.0,118046.19,118189.25,466.50951,2025-07-16 07:00:00+00:00,XBTUSD,54.562963724627174,short,0
1752652800000,118189.24,118794.64,118113.82,118699.99,858.41533,2025-07-16 08:00:00+00:00,XBTUSD,59.04797003007487,short,0
1752656400000,118700.0,119200.0,118693.71,119193.37,766.24927,2025-07-16 09:00:00+00:00,XBTUSD,62.86163226445776,short,1
1752660000000,119193.38,119310.75,118734.53,118736.25,614.40925,2025-07-16 10:00:00+00:00,XBTUSD,57.51724147722702,short,0
1752663600000,118736.24,118912.36,118650.0,118769.06,419.29991,2025-07-16 11:00:00+00:00,XBTUSD,57.794599840582016,short,1
1752667200000,118769.06,119082.94,118580.36,118613.43,550.40761,2025-07-16 12:00:00+00:00,XBTUSD,55.929337165375706,short,0
1752670800000,118613.43,118920.0,118181.14,118700.01,927.75357,2025-07-16 13:00:00+00:00,XBTUSD,56.76531353220896,short,0
1752674400000,118700.02,119260.0,118200.0,119056.8,1139.36599,2025-07-16 14:00:00+00:00,XBTUSD,60.12233354004371,short,0
